wavelength,readnoise,dark_counts,sky_counts,thermal,target_counts,total_counts
15559.0000,0,6488.4,2.2653e+05,16564,8.985e+06,9.2346e+06
15605.5000,0,6488.4,2.2653e+05,16564,8.871e+06,9.1206e+06
15652.0000,0,6488.4,2.2653e+05,16564,8.8783e+06,9.1279e+06
15698.5000,0,6488.4,2.2653e+05,16564,8.6734e+06,8.923e+06
15745.0000,0,6488.4,2.2653e+05,16564,8.5684e+06,8.818e+06
15791.5000,0,6488.4,2.2653e+05,16564,8.7732e+06,9.0227e+06
15838.0000,0,6488.4,2.2653e+05,16564,8.8169e+06,9.0665e+06
15884.5000,0,6488.4,2.2653e+05,16564,8.1958e+06,8.4454e+06
15931.0000,0,6488.4,2.2653e+05,16564,8.4933e+06,8.7428e+06
15977.5000,0,6488.4,2.2653e+05,16564,8.4719e+06,8.7215e+06
16024.0000,0,6488.4,2.2653e+05,16564,8.3162e+06,8.5658e+06
16070.5000,0,6488.4,2.2653e+05,16564,8.2127e+06,8.4623e+06
16117.0000,0,6488.4,2.2653e+05,16564,7.9224e+06,8.172e+06
16163.5000,0,6488.4,2.2653e+05,16564,7.9784e+06,8.228e+06
16210.0000,0,6488.4,2.2653e+05,16564,7.8742e+06,8.1238e+06
16256.5000,0,6488.4,2.2653e+05,16564,7.8264e+06,8.076e+06
16303.0000,0,6488.4,2.2653e+05,16564,7.7284e+06,7.978e+06
16349.5000,0,6488.4,2.2653e+05,16564,7.5846e+06,7.8342e+06
16396.0000,0,6488.4,2.2653e+05,16564,7.3225e+06,7.5721e+06
16442.5000,0,6488.4,2.2653e+05,16564,7.2624e+06,7.512e+06
16489.0000,0,6488.4,2.2653e+05,16564,7.3638e+06,7.6134e+06
16535.5000,0,6488.4,2.2653e+05,16564,7.1836e+06,7.4332e+06
16582.0000,0,6488.4,2.2653e+05,16564,6.9972e+06,7.2468e+06
16628.5000,0,6488.4,2.2653e+05,16564,6.4682e+06,6.7177e+06
16675.0000,0,6488.4,2.2653e+05,16564,5.5231e+06,5.7727e+06
16721.5000,0,6488.4,2.2653e+05,16564,4.8459e+06,5.0955e+06
16768.0000,0,6488.4,2.2653e+05,16564,3.9729e+06,4.2225e+06
16814.5000,0,6488.4,2.2653e+05,16564,3.1165e+06,3.3661e+06
16861.0000,0,6488.4,2.2653e+05,16564,2.5488e+06,2.7984e+06
16907.5000,0,6488.4,2.2653e+05,16564,1.9503e+06,2.1998e+06
16954.0000,0,6488.4,2.2653e+05,16564,1.5638e+06,1.8134e+06
17000.5000,0,6488.4,2.2653e+05,16564,1.2417e+06,1.4913e+06
17047.0000,0,6488.4,2.2653e+05,16564,1.0154e+06,1.265e+06
17093.5000,0,6488.4,2.2653e+05,16564,8.248e+05,1.0744e+06
17140.0000,0,6488.4,2.2653e+05,16564,6.7682e+05,9.2641e+05
17186.5000,0,6488.4,2.2653e+05,16564,5.5048e+05,8.0006e+05
